#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-05-29T19:33:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ60b296d3281370	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:I/239&tab:{I/239/hip_main}&key:source=I/239/hip_main&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=I/239/hip_main
#-order=I
#-out=HIP
#-out=Vmag
#-out=Plx
#-out=B-V
#-out=SpType
#HIPep=HIPep
#Erratum=Erratum
#

#RESOURCE=yCat_1239
#Name: I/239
#Title: The Hipparcos and Tycho Catalogues (ESA 1997)
#Coosys	H_1991.250:	ICRS
#Table	I_239_hip_main:
#Name: I/239/hip_main
#Title: The Hipparcos Main Catalogue
#Column	HIP	(I6)	Identifier (HIP number) (H1)	[ucd=meta.id;meta.main]
#Column	Vmag	(F5.2)	? Magnitude in Johnson V (H5)	[ucd=phot.mag;em.opt.V]
#Column	Plx	(F7.2)	? Trigonometric parallax (H11)	[ucd=pos.parallax.trig]
#Column	B-V	(F6.3)	? Johnson B-V colour (H37)	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	SpType	(a12)	Spectral type (H76)	[ucd=src.spType]
HIP;Vmag;Plx;B-V;SpType
   138; 7.83;   6.34; 1.074;K0/K1IV
   139;10.03;   1.62; 1.289;B0
   140; 9.04;   8.98; 0.546;F7V
   141; 8.47;   5.61; 1.350;K5
   142; 7.33;  16.04; 0.730;K0
   144; 8.66;   3.57; 1.364;K5
   143;10.35;  20.05; 1.033;K3
   145; 5.13;   7.98;-0.128;B7III-IV
   146; 8.96;   4.39; 0.306;A9V
   147; 8.49;  -0.13; 1.569;K5
   149;11.26;  22.92; 0.932;K3
   148; 8.15;   4.22; 0.584;F8
   150; 7.04;   7.50; 1.060;K1III
   152;10.02;   5.10; 0.456;F5
   153; 8.90;   5.54; 0.459;F8
   151; 7.78;   7.56; 0.411;F3IV...
   154; 4.37;   7.86; 1.631;M3III
   155; 9.93;   2.28; 0.283;A2
   156; 8.60;   3.09; 0.100;B8V
   157; 8.51;   6.87; 0.903;G5
   158; 7.09;   7.03; 0.999;K0III
   159; 6.93;  16.92; 0.292;A3
   160; 8.68;   2.07;-0.052;B9V
   161; 8.98;   2.38; 1.500;K5
   162; 9.84;   2.71; 0.696;G0
   163; 8.98;   2.92; 0.107;A3V
   164; 7.98;   4.41; 0.970;G9III
   165;10.16;  -0.59; 0.450;Ap...
   166; 8.86;   9.46; 0.660;G3V
   167; 8.58;   3.50; 0.060;B9
   168; 9.56;   1.95; 1.113;R...
   169; 9.24;  63.03; 1.390;M0V
   170; 9.63;   5.96; 0.509;F5V
   171; 5.80;  80.63; 0.690;G3V
   172; 9.05;   1.27; 0.976;O7
   173; 8.45;   1.31; 0.248;A2
   174; 8.86;   3.89; 1.035;G9II-III
   175; 7.84;   3.98; 0.923;G5
   176; 8.86;   3.82; 0.530;K0
   177; 8.93;   5.47; 0.172;A1m...
   178; 7.97;   9.02; 0.556;F7V
   179; 6.90;  14.91; 0.534;G0V
   180; 8.47;   2.80; 1.171;K0
   181; 6.77;   2.51; 1.832;M0
   182; 8.55;   3.32; 1.004;K0
   183; 5.04;   6.40;-0.150;B4V
   184; 8.48;  29.75; 0.888;K0
   185; 8.53;  11.74; 0.530;F8
   186; 6.33;   7.55; 0.182;A6V
   187; 8.99;   6.69; 0.500;G0
   188; 8.64;  10.49; 0.488;F5
   189; 9.55;   2.49; 0.237;A3
   190; 8.74;  10.47; 0.570;G0
   191;12.43;  22.98; 1.490;M3
   192; 8.16;   3.31; 1.032;G5
   193; 9.46;   4.77; 0.944;G8/K0III
   194; 5.70;  26.53; 0.315;F0V
   195; 7.62;   8.08; 0.517;F8
   196; 8.95;   0.98; 1.677;K5
   197; 8.97;   1.62; 0.952;K0
   198; 8.94;   5.12; 0.276;A0
   199; 7.24;   4.07; 0.074;A0
   200;10.32;   3.17; 0.323;F2
   201; 8.24;  10.06; 0.474;F5
   202; 8.62;   2.60; 0.303;F0
   203; 9.18;   2.16; 0.981;K0III
   204; 8.53;   2.53; 1.274;K3III
   205; 8.54;   8.84; 0.384;F2
   206; 8.56;   9.32; 0.436;G0
   208; 9.41;   2.46; 0.967;G6/G8III
   207; 5.87;   1.57; 1.073;G8III
   209; 7.20;  -0.69; 0.085;A2V
   210; 9.05;   7.65; 0.470;G0
   211; 9.52;   3.88; 0.832;G8
   212;10.24;   6.18; 0.318;
   213; 7.70;   7.80; 1.003;G5
   214; 8.17;   3.36; 0.290;A3
   217; 7.29;   2.73; 0.118;A0
   215; 9.26;   3.49; 1.800;M2
   216; 7.94;   3.21; 0.016;A0
   218; 8.42;   4.14; 1.005;G8III
   219; 8.56;  10.78; 0.602;F8
   220; 7.52;   6.27; 0.180;A0
   221; 7.74;   7.68; 0.483;F2
   222; 8.85;   2.62; 1.113;K1III
   224; 9.01;   1.25; 1.010;K0
   223; 7.17;  21.58; 0.617;G0
   225; 9.04;   7.23; 0.489;F3/F5V
   226;10.30;   0.63; 0.254;F0/F2V
   227; 9.86;   8.72; 0.442;
   228; 7.64;   9.53; 0.532;F8
   229; 8.27;   2.16; 0.128;A0
   230; 8.44;   8.62; 0.423;F2
   231; 9.58;   4.59; 0.500;F6/F7IV
   232; 8.43;   5.18; 0.007;A0V
   233; 8.49;   2.50; 1.180;K0
   234; 9.64;   2.91; 0.310;B8
   235; 9.17;   2.60; 1.222;K0
   236; 8.09;   2.96; 1.260;K0
   237; 9.00;   6.32; 0.903;G8IV
   238; 6.25;  16.16; 0.526;F6/F7V
   239; 8.56;   4.77; 0.521;F5
   240;10.81;   3.36; 0.565;F8
   241; 8.76;   2.37; 1.010;K0
   242; 7.76;   7.41; 0.967;G8IV
   243; 7.82;   4.11; 1.041;K0III
   244; 7.90;   3.49; 0.668;F8
   245; 8.52;   3.31; 1.036;G5
   246; 9.73;  18.29; 0.990;K3
   247; 9.19;   6.08; 0.346;F0
   248; 8.10;   9.03; 0.342;F0
   249; 8.75;  13.24; 0.552;F8
   250; 8.14;   5.19; 0.880;K0
   251; 8.65;  -0.53; 1.349;K2III
   252;10.30;  -0.95; 1.082;K0...
   253; 6.46;   6.78; 1.176;K1III
   254; 6.73;   5.96; 0.051;A2
   255; 7.96;  11.84; 0.421;F2/F3V
   256; 9.53;   4.73; 0.461;F0
   257; 8.87;   3.15; 0.081;A0V
   258; 6.59;   6.28; 1.122;K0
   259; 8.65;   0.54; 1.455;M0
   260; 9.64;   6.10; 0.432;F2V
   261; 9.15;   8.21; 0.424;F3V
   262; 9.04;   4.31; 0.422;F0V
   263;12.04;  32.93; 1.473;M1
   264; 8.42;   3.69; 1.174;K0
   266; 8.09;   3.38; 1.125;K1IIICN...
   265; 9.06;   1.06; 1.688;K5III:
   267; 8.09;  11.66; 0.455;F2
   268; 8.18;   0.24; 1.462;K5
   269; 8.77;   3.82; 1.125;G5
   270; 7.36;   4.70; 0.146;A2
   271; 9.16;   4.81; 0.232;A2III
   272; 8.82;   1.39; 0.979;G8/K0III
   273;11.14;   1.86; 0.041;A0V
   274; 6.24;   0.93; 0.332;B3Ia
   275; 9.44;   5.68; 0.439;F3V
   276; 7.49;  15.55; 0.636;G0
   277; 6.96;  15.84; 0.353;F2V
   278; 7.94;   2.79;-0.023;B2IVne+...
   279; 8.69;   0.81; 0.120;B8V
   280; 8.15;   4.83; 0.134;A2
   281; 8.45;   2.88; 1.655;M0
   282; 7.92;   1.62; 1.408;K0
   283; 7.45;   4.99; 0.353;A5
   284; 9.01;   2.11; 0.956;G8III
   285; 8.55;   1.38; 1.212;K1IV/VCN...
   286; 9.23;   0.11; 1.006;K0
   287; 9.16;   1.19; 1.538;K5
   288; 7.90;   5.49; 1.071;K0
   289; 8.68;   3.48; 1.011;K0III
   290; 7.78;  15.26; 0.563;F8/G0V
   291; 8.21;   1.46;-0.123;Ap...
   292; 8.11;   2.92;-0.019;A0
   293; 8.29;  13.14; 0.488;F6V
   294; 7.89;   8.63; 0.401;F0
   295; 9.67;   2.83; 0.397;F0V
   296; 8.24;  25.29; 0.780;G8V
   297; 6.80;   6.42; 0.060;A2
   298; 8.18;   2.81; 1.015;K0
   299; 8.44;   9.67; 0.508;F5V
   301; 4.55;  14.31;-0.047;B9IVn
   300; 7.45;   6.04; 0.244;A3
   302; 6.31;   3.31; 1.629;M4
   303; 8.15;   5.15; 0.316;Am...
   304; 8.27;   6.16; 0.136;A2
   305; 7.66;  20.44; 0.741;G5IV
   306; 8.59;  14.36; 0.616;G2V
   307;11.55;  16.27; 1.260;M0
   308; 7.09;  13.90; 0.303;F0
   309; 8.54;   4.59; 0.230;A7V
   310; 9.58;  12.24; 0.700;G5V
   311; 8.44;   6.36; 0.456;F0
   312; 8.59;  -0.56; 0.360;B0Ibp
   313; 8.01;  10.62; 0.406;F3/F5V
   314; 8.29;   5.58; 0.540;G0
   315; 9.62;   6.67; 0.657;F8V
   316; 7.26;   5.48; 0.355;F0
   317; 7.91;   5.53; 0.314;F0III/IV
   318; 9.45;   2.07; 1.115;G8/K0IV
   319; 8.19;   1.20; 0.260;O8e
   320;12.14;   6.48;      ;F1:
   321; 8.93;   9.88; 0.607;G2/G3V
   322; 7.65;   3.93; 0.992;G8IV
   324; 8.53;   8.18; 0.491;F5
   323; 7.38;   6.15; 1.003;K0
   325; 8.56;  14.48; 0.615;F8
   326; 8.76;   0.82; 1.692;M0
   327; 9.56;   2.04; 0.390;A2
   328; 7.09;   4.24;-0.085;B8V
   329; 9.83;   9.20; 0.699;G5
   330; 5.90;   0.89; 0.274;A1III
   331;10.80;   1.88; 0.882;Gp
   332; 8.41;   6.58; 0.563;F6V
   333; 9.05;   5.54; 0.160;A1/A2IV/V
   334; 8.79;   0.07; 0.080;B0
   335; 8.88;   5.57; 0.253;A0
   336; 7.59;   1.47; 1.680;K5
   337; 9.60;  11.87; 0.750;G5
   338;10.66;  -1.21; 1.450;B
   339; 8.55;   4.12; 0.037;A1V
   340; 8.11;  14.91; 0.484;F6V
   341; 9.44;   0.58; 1.069;G8IV
   342; 9.60;   7.92; 0.549;G0V
   343; 5.78;  11.29; 1.084;K0III
   344;10.66;   6.82; 1.500;M5e-M7e
   345; 6.38;   7.75; 0.006;A1V
   346; 8.80;   5.27; 1.031;K1III
   347; 7.79;   2.46;-0.089;B3V
   348; 8.60;  16.79; 0.640;G5
   349; 7.77;   4.10;-0.058;B8/B9V
   350;10.37;  21.14; 1.100;
   351; 9.80;  22.52; 0.855;K0V
   352;10.42;  12.99; 0.800;
   353;11.63;   5.72; 0.971;
   354; 9.22;   3.01; 1.001;K0
   355; 4.99;   2.03; 1.619;K3Ibvar
   356; 8.43;   9.89; 0.611;G0
   357; 7.33;  10.92; 0.444;F2V
   358; 8.93;   0.95; 1.025;G8III
   359; 9.09;  17.09; 0.639;G3/G5III/IV
   360; 9.26;   4.67; 1.162;K2
   361; 8.73;   3.40; 1.036;K0III
   362; 9.18;  -0.43; 1.169;K2III
   363; 8.12;   2.15; 2.530;C5II
   364; 9.26;   1.99; 1.149;K0III
   366; 8.94;   1.59; 1.181;K1IV
   365; 6.11;   1.94; 0.159;B9III
   367; 9.13;   1.38; 0.239;A2/A3IV
   368; 7.90;   4.83; 1.249;K2
   369; 9.34;   1.26; 0.950;K0
   370; 7.13;   2.46; 1.260;K1III
   371;10.82;   0.81; 1.021;M5
   372; 7.46;   4.15; 1.072;K0/K1III
   373; 8.72;   1.39; 1.508;K2
   374; 7.02;   6.13; 1.100;K0
   375; 9.08;   6.13;      ;
   376; 8.37;   4.04; 0.881;K0
   377; 5.59;   5.70;-0.100;B8III
   378; 7.37;  11.46; 0.422;F5IV
   379; 5.68;  10.30; 1.051;K1III
   380; 8.56;   7.35; 0.792;G5
   381; 8.72;   2.46;-0.014;A2
   382; 9.06;   4.16; 0.368;F0V
   383; 8.82;   4.08; 0.433;F0
   384; 8.18;   5.84; 0.376;A5
   385; 9.39;   9.37; 0.735;G5
   386; 9.10;  -0.59; 0.652;B2
   387; 8.46;   1.61; 0.556;F2
   388; 9.15;   5.46; 0.394;A3
   389; 8.28;   5.65; 0.002;A0IV
   390;11.67;   4.86;      ;F7
   391; 8.18;   6.95; 0.430;G0
   392; 7.93;  10.47; 0.478;F5
   393; 9.21;   3.05; 0.964;K0
   394; 6.09;  27.18; 0.632;G2V
   395; 8.31;   3.15; 0.036;A0IV/V
   396; 7.83;   2.91; 1.256;K2III
   397; 8.72;   3.73; 0.082;A0
   398; 6.61;   2.13; 0.025;B3V
   399; 6.25;   5.34; 1.368;K4IIIb
   400; 7.82;  39.06; 0.755;G9V
   401; 8.66;   3.49; 1.614;K5
   402; 8.15;   6.02; 0.475;F5
   403; 8.97;  11.56; 0.674;G3V
   405; 8.15;   1.55; 1.201;K2
   404; 7.47;  14.53; 0.550;F8V
   406; 8.63;   1.67; 1.570;M0
   407; 8.13;  22.09; 0.710;G5V
   408; 8.23;   4.41; 0.986;G9III
   409; 8.41;   8.49; 0.461;F5V
   410; 6.47;   7.63; 0.946;G8II
   411; 9.83;  -0.99; 1.540;K5
   412; 8.64;   6.19; 1.300;F5
   413; 7.73;  19.78; 0.537;G0V
   414; 8.64;   1.96; 0.889;G6III
   415; 8.94;   8.38; 0.415;F2
   416; 8.84;   8.73; 0.759;G5
   417; 6.32;   6.95; 1.099;G9III:
   418; 5.80;   4.50;-0.067;B8MNp...
   419; 8.97;   5.12; 0.860;G8/K0V
   420; 7.53;  23.90; 0.577;G0V
   421; 8.83;       ;      ;
   422; 7.41;   2.53; 1.288;K0
   423; 7.80;   5.43; 0.437;F0
   425; 8.14;  14.25; 0.593;G0V
   424; 6.71;   6.66; 0.068;A1Vn
   427; 8.73;   1.42; 1.124;K1III
   426; 9.37;   6.64; 0.510;F0
   429; 8.69;  11.12; 0.644;G5
   428; 9.95;  86.98; 1.472;M2
   430; 7.10;   6.27; 1.128;K1III
   431; 8.09;   2.45; 0.496;F5
   432; 6.88;  10.35; 0.174;A2
   433; 9.48;  -0.08; 1.037;K2
   434; 9.04;   1.40; 0.692;F2V
   435; 9.30;  10.28; 0.538;F3/F5V
   436; 8.49;  62.48; 1.076;K5V
   437; 8.30;   3.18; 0.998;G5
   438; 7.95;   2.21; 0.991;G5
   440; 7.08;   5.31;-0.006;B9
   441; 6.93;   4.29; 0.940;G8III/IV
   442; 8.38;   4.33;-0.060;B9V
   443; 4.61;  25.38; 1.029;K1III
   439; 8.56; 229.33; 1.462;M2V
   444; 8.78;   1.29; 1.156;K2III
   445; 7.42;   9.55; 0.191;A1Vs
   447; 8.26;   1.69; 1.052;G4V:p
   446; 7.71;   5.05; 1.093;K0III
   448; 6.91;   6.75; 1.120;G5
   449; 9.16;   9.89; 0.782;G8IV
   450; 8.99;   3.30; 1.199;K7
   451; 8.63;   4.55; 0.460;G0
   452; 9.90;   2.61; 0.599;F8
   453; 7.59;   4.65; 1.045;K0
   454; 7.39;   4.76; 0.990;K0III
   455;11.99;   6.35;      ;
   456; 7.78;   4.79; 1.123;K0III
   457; 7.47;   2.01; 1.620;M3III
   458; 6.97;   3.07; 1.444;K5
   459; 8.82;  18.57; 0.666;G5V
   460; 9.13;  22.20; 0.735;G5
   461; 7.86;  11.04; 0.494;F8
   462; 7.13;  19.81; 0.446;F5
   463; 9.45;  -1.03; 0.995;G8III/IV
   464;12.04;   0.75; 0.501;A0
   465; 8.78;   3.94; 1.249;K2
   466; 7.23;   3.52; 1.174;K0
   467; 9.73;   6.89; 0.725;G5V
   468; 7.36;   4.25; 0.993;K0III
   469; 7.36;   2.30; 1.444;K3/K4III
   470; 8.47;   0.47;-0.180;B1.5IV
   471; 9.37;   2.52; 1.537;K5
   472; 6.99;   4.25; 1.187;K0III
   473; 8.20;  85.10; 1.410;K2
   474; 8.36;   7.00; 0.247;A0
   475; 8.22;  21.03; 0.636;G0
   476; 5.55;   8.75; 0.901;G5III
   477; 9.91;   5.59; 0.353;A9/F0V
   478; 9.67;   2.19; 0.524;F3/F5V
   480; 8.60;   1.87; 1.100;K1III
   479;10.07;   1.32; 0.923;G5
   481;10.15;   7.28; 0.677;G5
   482; 7.75;   5.95; 0.414;F2+...
   483; 9.21;   4.01; 0.097;A0
   484; 9.66;  -0.26; 0.787;G5V
   485; 8.47;   2.62; 0.045;A0
   486; 9.37;   6.18; 0.507;F6V
   487; 9.44;  11.21; 0.617;G0
   488; 9.99;   7.92; 0.646;G5/G6V
   489;10.38;  13.23; 0.782;
   490; 7.51;  24.85; 0.595;G0V
   491; 8.91;   2.92; 1.190;K0
   493; 7.45;  26.24; 0.596;F8
   492; 9.57;   6.50; 0.510;G0
   494; 8.99;  12.99; 0.585;F8V
   495; 8.58;  25.77; 0.920;K0...
   496; 6.90;   5.31; 1.564;K5
   497; 7.55;   7.05; 0.300;A3
   498; 7.93;   4.26; 0.239;A3
   499; 9.71;   0.87; 0.915;G8IV/V
   500; 9.57;   1.54; 1.812;M1/M2
   501; 8.55;   4.19; 1.357;K3III
   502; 6.62;   2.90; 1.531;K5III
   503; 7.89;   3.07; 0.930;G5
   504; 7.51;   5.66; 1.112;K1III-IV
   505; 7.36;   0.08; 0.126;O6pe
   506; 8.66;   1.33;-0.039;A2
   507; 8.51;   1.80; 1.576;K3III
   508; 6.65;   3.28; 0.912;G5
   509; 9.67;  13.05; 0.633;G3V
   510; 7.80;  11.07; 0.501;F5
   511; 8.21;   5.34; 1.108;G5
   512; 7.90;   4.39;-0.030;B9V
   513; 8.94;   2.09; 1.000;K0
   514; 9.82;   5.66; 0.418;F2V
   515; 8.69;   7.38; 0.509;F8
   516; 8.57;  -0.16; 1.612;M1III
   517; 8.89;   5.95; 0.476;F5IV/V
   518; 5.98;  49.30; 0.687;G5V
   519; 7.92;   5.38; 0.459;F3IV
   520; 7.60;   2.35; 1.539;M...
   521; 8.22;   4.71; 1.220;K2
   522; 5.70;  39.00; 0.519;G1IV...
   523;12.17;  56.92; 1.550;M4
   524; 8.75;   7.24; 0.487;F6/F7V
   525; 6.93;   8.60; 1.086;K0
   526; 7.97;   4.78; 0.256;F0
   527; 8.06;   3.09; 1.431;K2
   528;10.13;   4.69; 0.593;F8
   529; 7.31;   6.73; 0.402;F2IV
   530; 8.35;   8.11; 0.624;G1V
   531; 5.57;   3.32;-0.023;B9III
   532; 9.85;   4.60; 0.526;F6V
   533; 9.16;  -1.67; 1.045;G8III
   534; 9.03;   3.63; 1.349;K1/K2III:
   535;10.07;   5.95; 0.590;F5
   536; 9.76;   2.90; 1.390;M6e
   537; 9.35;   3.91; 0.410;F2V
   538;10.95;  13.26; 1.008;K1
   539; 8.87;   6.15; 0.426;F8
   540; 6.68;   5.13; 0.986;G9III
   541; 9.69;  10.02; 0.578;F6V
   542; 8.05;   4.21; 0.112;A0
   543;10.30;   2.04; 0.506;F5
   544; 6.07;  72.98; 0.752;K0V
   545; 8.51;   4.00; 1.107;K0
   546; 7.71;   5.02; 1.038;G8III
   547; 8.56;   5.61; 0.548;F7V
   548; 8.26;   2.44; 1.233;K0
   549;11.55;  -0.29; 0.490;
   550; 8.62;   2.41; 0.148;B9
   551;10.92;   5.29; 0.792;
   552;10.51;   1.92; 0.759;
   553; 9.83;   2.30; 0.587;G2/G3V
   554; 9.84;   9.89; 0.690;G0
   555; 9.74;   4.82; 0.494;F8
   556; 8.21;   9.08; 0.574;F8
   557; 8.72;   6.36; 0.410;F4IVws
   558; 8.03;   1.65; 1.631;K5p...
   559; 9.00;   0.55;-0.090;F5
   560; 6.19;  25.59; 0.386;F2IV
   561;11.79;   3.17; 0.710;
   562; 8.22;   3.69; 0.951;G5
   563; 7.93;   4.96; 1.107;K0
   564;10.18;   0.77; 0.580;F5V
   565; 8.98;   6.64; 0.567;F8
   566; 9.13;   1.34; 1.125;K0
   567; 6.91;   3.69; 1.123;K0III
   568; 8.79;   1.16; 1.234;K3III
   569; 8.23;  18.71; 0.580;G0
   570;12.19;   3.82;      ;
